rank,prev_rank,name,league,off,def,spi
580,581,Mansfield Town,English League Two,0.6,1.84,18.56
581,591,Colchester United,English League Two,0.72,2.06,18.5
582,584,GFC Ajaccio,French Ligue 2,0.67,1.99,18.24
583,583,Bury,English League Two,0.68,2.02,18.12
584,592,Oxford United,English League One,0.65,2.0,17.68
585,586,Livorno,Italy Serie B,0.61,1.92,17.67
586,582,Bristol Rovers,English League One,0.46,1.65,17.63
587,587,Padova,Italy Serie B,0.61,1.94,17.62
588,588,Dalkurd FF,Swedish Allsvenskan,0.71,2.12,17.56
589,580,Charlotte Independence,United Soccer League,0.76,2.2,17.53
590,589,Highlands Park FC,South African ABSA Premier League,0.52,1.8,17.26
591,590,Las Vegas Lights FC,United Soccer League,0.95,2.59,16.87
592,585,Plymouth Argyle,English League One,0.59,2.01,16.38
593,594,Rio Grande Valley FC Toros,United Soccer League,0.51,1.86,16.29
594,595,AS Nancy Lorraine,French Ligue 2,0.45,1.77,15.85
595,596,St Mirren,Scottish Premiership,0.61,2.11,15.64
596,593,Bradford City,English League One,0.54,2.0,15.35
597,598,Hamilton Academical,Scottish Premiership,0.64,2.22,14.99
598,600,Baroka FC,South African ABSA Premier League,0.35,1.66,14.89
599,599,Toronto FC II,United Soccer League,0.88,2.66,14.88
600,597,AFC Wimbledon,English League One,0.47,1.9,14.76
601,601,Dundee,Scottish Premiership,0.52,2.02,14.57
602,603,Colorado Springs Switchbacks FC,United Soccer League,0.46,1.94,14.33
603,602,Penn FC,United Soccer League,0.48,2.01,13.79
604,605,Trelleborgs FF,Swedish Allsvenskan,0.62,2.32,13.67
605,607,Yeovil Town,English League Two,0.58,2.25,13.57
606,609,Brommapojkarna,Swedish Allsvenskan,0.62,2.33,13.48
607,604,Forest Green Rovers,English League Two,0.49,2.07,13.43
608,611,Tranmere Rovers,English League Two,0.42,2.01,12.6
609,606,Swindon Town,English League Two,0.47,2.15,12.41
610,610,Crawley Town,English League Two,0.51,2.28,12.05
611,608,Ottawa Fury FC,United Soccer League,0.26,1.74,11.67
612,614,Black Leopards,South African ABSA Premier League,0.39,2.05,11.66
613,613,Stevenage,English League Two,0.36,2.05,11.14
614,617,Northampton Town,English League Two,0.41,2.2,10.7
615,616,Newport County,English League Two,0.48,2.38,10.62
616,621,Seattle Sounders 2,United Soccer League,0.56,2.57,10.43
617,615,Notts County,English League Two,0.53,2.53,10.17
618,612,Carlisle United,English League Two,0.3,2.04,10.03
619,618,Atlanta United 2,United Soccer League,0.5,2.53,9.74
620,619,Crewe Alexandra,English League Two,0.35,2.2,9.62
621,620,Tulsa Roughnecks,United Soccer League,0.52,2.86,7.87
622,627,Morecambe,English League Two,0.27,2.41,6.86
623,624,Cheltenham Town,English League Two,0.28,2.5,6.47
624,625,Grimsby Town,English League Two,0.2,2.31,6.36
625,622,Port Vale,English League Two,0.25,2.45,6.35
626,623,Cambridge United,English League Two,0.28,2.56,6.29
627,626,Macclesfield,English League Two,0.2,2.47,5.52
628,628,Richmond Kickers,United Soccer League,0.32,2.9,5.15
